,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,,,,,,,,,,,,,,,,
Province,Male,Female,Number of Students,Percent of students,,,,,,,,,,,,,,,,
Koshi Pradesh,"31,082","44,215","75,297",12.99,,,,,,,,,,,,,,,,
Madhesh Pradesh,"23,267","25,033","48,300",8.34,,,,,,,,,,,,,,,,
Bagmati Pradesh,"133,353","135,485","268,838",46.4,,,,,,,,,,,,,,,,
Gandaki Pradesh,"18,943","29,295","48,238",8.32,,,,,,,,,,,,,,,,
Lumbini Pradesh,"29,368","47,495","76,863",13.26,,,,,,,,,,,,,,,,
Karnali Pradesh,"9,673","12,488","22,161",3.82,,,,,,,,,,,,,,,,
Sudurpaschim Pradesh,"14,425","25,326","39,751",6.86,,,,,,,,,,,,,,,,
Total,"260,111","319,337","579,448",100,,,,,,,,,,,,,,,,
